junction,time_seconds,hour,minute,vehicles_count,queue_length,waiting_time,day_type,congested
Carfax,21600,6,0,7,12,52.7,weekday,0
Carfax,21900,6,5,3,3,11.02,weekday,0
Carfax,22200,6,10,4,7,24.83,weekday,0
Carfax,22500,6,15,3,7,28.72,weekday,0
Carfax,22800,6,20,4,3,13.73,weekday,0
Carfax,23100,6,25,6,8,31.69,weekday,0
Carfax,23400,6,30,4,5,22.17,weekday,0
Carfax,23700,6,35,6,9,38.31,weekday,0
Carfax,24000,6,40,1,1,3.3,weekday,0
Carfax,24300,6,45,6,6,25.6,weekday,0
Carfax,24600,6,50,6,10,44.79,weekday,0
Carfax,24900,6,55,4,6,28.13,weekday,0
Carfax,25200,7,0,3,6,22.51,weekday,0
Carfax,25500,7,5,7,12,51.41,weekday,0
Carfax,25800,7,10,4,2,11.53,weekday,0
Carfax,26100,7,15,7,9,36.52,weekday,0
Carfax,26400,7,20,9,12,53.31,weekday,0
Carfax,26700,7,25,6,10,41.12,weekday,0
Carfax,27000,7,30,1,0,1.04,weekday,0
Carfax,27300,7,35,3,3,13.81,weekday,0
Carfax,27600,7,40,9,10,39.02,weekday,0
Carfax,27900,7,45,3,3,13.5,weekday,0
Carfax,28200,7,50,4,7,31.66,weekday,0
Carfax,28500,7,55,7,7,27.7,weekday,0
Carfax,28800,8,0,25,31,130.41,weekday,1
Carfax,29100,8,5,25,33,143.25,weekday,1
Carfax,29400,8,10,33,44,183.83,weekday,1
Carfax,29700,8,15,18,25,108.92,weekday,1
Carfax,30000,8,20,22,31,132.55,weekday,1
Carfax,30300,8,25,19,27,114.29,weekday,1
Carfax,30600,8,30,25,35,144.86,weekday,1
Carfax,30900,8,35,22,28,119.57,weekday,1
Carfax,31200,8,40,27,40,165.54,weekday,1
Carfax,31500,8,45,25,34,140.54,weekday,1
Carfax,31800,8,50,18,25,106.02,weekday,1
Carfax,32100,8,55,31,43,184.96,weekday,1
Carfax,32400,9,0,24,34,140.23,weekday,1
Carfax,32700,9,5,18,23,98.05,weekday,1
Carfax,33000,9,10,31,44,184.58,weekday,1
Carfax,33300,9,15,18,24,103.37,weekday,1
Carfax,33600,9,20,16,22,93.56,weekday,1
Carfax,33900,9,25,24,33,135.17,weekday,1
Carfax,34200,9,30,30,44,187.96,weekday,1
Carfax,34500,9,35,19,27,114.94,weekday,1
Carfax,34800,9,40,22,31,133.61,weekday,1
Carfax,35100,9,45,25,34,145.08,weekday,1
Carfax,35400,9,50,19,25,105.25,weekday,1
Carfax,35700,9,55,22,32,129.56,weekday,1
Carfax,36000,10,0,1,0,3.27,weekday,0
Carfax,36300,10,5,4,4,17.45,weekday,0
Carfax,36600,10,10,3,6,27.69,weekday,0
Carfax,36900,10,15,7,8,38.58,weekday,0
Carfax,37200,10,20,3,7,30.61,weekday,0
Carfax,37500,10,25,10,16,65.08,weekday,1
Carfax,37800,10,30,0,0,5.62,weekday,0
Carfax,38100,10,35,4,1,0.3,weekday,0
Carfax,38400,10,40,3,7,25.09,weekday,0
Carfax,38700,10,45,6,7,29.58,weekday,0
Carfax,39000,10,50,12,17,69.53,weekday,1
Carfax,39300,10,55,4,4,19.35,weekday,0
Carfax,39600,11,0,9,13,52.47,weekday,0
Carfax,39900,11,5,12,18,78.04,weekday,1
Carfax,40200,11,10,6,7,31.96,weekday,0
Carfax,40500,11,15,0,0,0.0,weekday,0
Carfax,40800,11,20,7,12,52.77,weekday,0
Carfax,41100,11,25,6,4,22.11,weekday,0
Carfax,41400,11,30,4,6,29.27,weekday,0
Carfax,41700,11,35,1,0,0.61,weekday,0
Carfax,42000,11,40,4,7,27.97,weekday,0
Carfax,42300,11,45,7,5,25.71,weekday,0
Carfax,42600,11,50,4,4,16.66,weekday,0
Carfax,42900,11,55,1,3,14.91,weekday,0
Carfax,43200,12,0,10,14,61.75,weekday,0
Carfax,43500,12,5,16,22,95.33,weekday,1
Carfax,43800,12,10,9,13,60.23,weekday,0
Carfax,44100,12,15,18,25,104.15,weekday,1
Carfax,44400,12,20,16,22,93.31,weekday,1
Carfax,44700,12,25,19,24,99.89,weekday,1
Carfax,45000,12,30,15,22,96.51,weekday,1
Carfax,45300,12,35,4,7,24.12,weekday,0
Carfax,45600,12,40,18,24,95.81,weekday,1
Carfax,45900,12,45,9,13,51.78,weekday,0
Carfax,46200,12,50,10,12,48.02,weekday,0
Carfax,46500,12,55,6,8,26.75,weekday,0
Carfax,46800,13,0,10,15,61.14,weekday,0
Carfax,47100,13,5,13,19,76.84,weekday,1
Carfax,47400,13,10,12,15,59.76,weekday,0
Carfax,47700,13,15,15,20,81.99,weekday,1
Carfax,48000,13,20,12,15,61.54,weekday,0
Carfax,48300,13,25,9,13,54.35,weekday,0
Carfax,48600,13,30,15,19,74.39,weekday,1
Carfax,48900,13,35,9,18,70.77,weekday,1
Carfax,49200,13,40,4,4,19.08,weekday,0
Carfax,49500,13,45,18,25,104.53,weekday,1
Carfax,49800,13,50,9,13,57.7,weekday,0
Carfax,50100,13,55,16,21,90.67,weekday,1
Carfax,50400,14,0,9,13,53.35,weekday,0
Carfax,50700,14,5,7,11,43.63,weekday,0
Carfax,51000,14,10,3,3,15.09,weekday,0
Carfax,51300,14,15,4,8,32.27,weekday,0
Carfax,51600,14,20,4,8,36.63,weekday,0
Carfax,51900,14,25,4,5,23.51,weekday,0
Carfax,52200,14,30,6,13,54.99,weekday,0
Carfax,52500,14,35,0,3,14.37,weekday,0
Carfax,52800,14,40,7,10,42.3,weekday,0
Carfax,53100,14,45,7,14,60.37,weekday,0
Carfax,53400,14,50,3,2,3.44,weekday,0
Carfax,53700,14,55,9,10,41.55,weekday,0
Carfax,54000,15,0,6,12,53.78,weekday,0
Carfax,54300,15,5,0,0,1.55,weekday,0
Carfax,54600,15,10,4,5,21.47,weekday,0
Carfax,54900,15,15,4,5,21.47,weekday,0
Carfax,55200,15,20,1,6,21.88,weekday,0
Carfax,55500,15,25,4,1,0.48,weekday,0
Carfax,55800,15,30,3,1,1.87,weekday,0
Carfax,56100,15,35,3,5,18.68,weekday,0
Carfax,56400,15,40,1,0,0.0,weekday,0
Carfax,56700,15,45,1,1,3.81,weekday,0
Carfax,57000,15,50,4,7,26.58,weekday,0
Carfax,57300,15,55,7,6,30.49,weekday,0
Carfax,57600,16,0,7,11,41.96,weekday,0
Carfax,57900,16,5,9,12,53.71,weekday,0
Carfax,58200,16,10,4,6,20.07,weekday,0
Carfax,58500,16,15,7,8,31.27,weekday,0
Carfax,58800,16,20,1,1,1.26,weekday,0
Carfax,59100,16,25,6,11,50.91,weekday,0
Carfax,59400,16,30,6,7,29.48,weekday,0
Carfax,59700,16,35,3,1,5.94,weekday,0
Carfax,60000,16,40,6,6,33.1,weekday,0
Carfax,60300,16,45,6,9,33.24,weekday,0
Carfax,60600,16,50,3,6,23.09,weekday,0
Carfax,60900,16,55,1,1,9.51,weekday,0
Carfax,61200,17,0,21,30,124.31,weekday,1
Carfax,61500,17,5,22,32,129.69,weekday,1
